he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,0,,,330393,,Turf,02XA,,50,,,1950,,,330469,18,36,,0
,0,,,6695,,TURF,02XS,,40,,,1500,,,251224,02,20,,0
,0,,,6695,,TURF,02XS,,40,,,1320,,,251225,11,29,,0
,0,,,6696,,DIRT,03AK,,70,,,1000,,,248733,07,25,,0
,0,,,6696,,WATER,03AK,,500,,,6000,,,248735,N,S,,0
,0,,,6696,,WATER,03AK,,500,,,2600,,,248734,NE,SW,,0
,1,,,6697,,CONC,03AL,,50,,,50,,,265066,H1,,,0
,1,,,6698,,CONC,03AR,,117,,,117,,,265067,H1,,,0
,1,,,6699,,DIRT,03AZ,,60,,,3600,,,248069,E,W,,0
,1,,,6700,,CONC,03CA,,40,,,40,,,265068,H1,,,0
,0,,4900,6701,-104.749,ASPH-G,03CO,-104.74,30,140,40.2083,4000,,4950,245857,13,31,40.2167,0
,0,,,6702,,TURF,03FA,,200,,,2000,,,248602,E,W,,0
1070,0,200,,6703,,TURF-G,03FD,,50,,,2000,,,258132,09,27,,0
,0,,,6704,,CONC,03FL,,40,,,50,,,265069,H1,,,0
,0,,,322717,,Turf,03GA,,65,,,1990,,,322728,10,28,,0
,0,,,322717,,Turf,03GA,,60,,,1955,,,322729,11,29,,0
,0,,,6705,,TURF-G,03I,,90,58,,2375,238,,255699,13,31,,0
,0,,,6706,,GRS,03IA,,150,,,2000,,,344643,N,S,,0
,0,,,6707,,TURF,03ID,,100,,,1800,,,254224,11,29,,0
,0,,,6708,,TURF,03II,,200,,,1000,,,254122,N,S,,0
,0,,,6709,,TURF,03IL,,105,,,2600,,,254941,18,36,,0
,0,,,6711,,CONC,03IS,,40,,,40,,,265070,H1,,,0
,0,,,6712,,GRAVEL,03KS,,25,,,25,,,265071,H1,,,0
,0,,,6713,,TURF,03KY,,80,,,2300,,,250552,03,21,,0
,0,,,6714,,TURF,03LA,,60,,,60,,,265072,H1,,,0
,1,,,6715,,CONC,03LS,,40,,,40,,,265073,H1,,,0
,0,,,6716,,WATER,03M,,200,,,3800,,,258174,02,20,,0
,0,,,6717,,TURF,03MA,,60,,,1600,,,256543,12,30,,0
,1,,,6718,,CONC,03MD,,50,,,50,,,265074,H1,,,0
,0,,,6719,,TURF,03ME,,90,,,2400,,,251983,18,36,,0
,0,,,6720,,TURF,03MI,,20,,,20,,,265075,H1,,,0
,0,,,6721,,TURF,03MN,,75,,,1940,,,254015,17,35,,0
,0,,,6722,,TURF,03MO,,50,,,2200,,,256583,15,33,,0
,0,,,6723,,CONC,03MS,,60,,,60,,,265076,H1,,,0
,1,,,6725,,ASPH,03MU,,24,,,2400,,,252674,17,35,,0
,0,,,4650,,GRVL,03N,,50,,,2400,,,247862,07,25,,0
,0,,,6726,,ASPH-G,03NC,,40,,,2750,,,255474,09,27,,0
,0,,,6727,,TURF,03ND,,50,,,2600,,,253422,17,35,,0
,0,,,6728,,TURF,03NE,,200,,,2200,,,248631,01,19,,0
,0,,,6729,,ASPH,03NH,,80,,,12,,,269432,H1,,,0
,0,,,6731,,TURF-P,03NV,,30,,,3200,,,250930,18,36,,0
,0,,,6732,,TURF,03NY,,75,,,2000,,,256491,16,34,,0
,0,,,6733,,TURF,03OH,,60,,,2100,,,247680,N,S,,0
,0,,,6733,,TURF,03OH,,60,,,2200,,,247679,NE,SW,,0
,0,,,6734,,CONC,03OI,,60,,,60,,,269433,H1,,,0
,0,,,6735,,TURF,03OK,,50,,,1200,,,248677,18,36,,0
,0,,,6736,,CONC,03OR,,60,,,2950,,,250205,07,25,,0
,0,,,6737,,ASPH,03PA,,80,,,130,,,269434,H1,,,0
,0,,,6738,,TURF,03PN,,100,,,100,,,269435,H1,,,0
,0,,,322892,,Turf,03PR,,65,,,2926,,,322893,9,27,,0
150,0,,,6739,,TURF-G,03PS,,90,,,675,,,254174,14,32,,0
150,0,,,6739,,TURF-G,03PS,,90,,,925,,,254175,16,34,,0
300,0,,,6739,,TURF-G,03PS,,90,,,1130,,,254176,18,36,,0
,0,,,6740,,TURF-G,03S,,100,,,2115,,,252715,08,26,,0
,1,,,6741,,CONC,03SC,,40,,,40,,,269436,H1,,,0
,0,,,6743,,TURF,03TE,,100,,,3500,,,256656,12,30,,0
,0,,,6744,,TURF,03TN,,20,,,20,,,269437,H1,,,0
,0,,,6745,,ASPH,03TS,,90,,,90,,,269438,H1,,,0
,0,,117,341551,,Turf,03TT,,50,,,3000,,117,341552,18,36,,0
,0,,,6746,,TURF,03TX,,150,,,150,,,269439,H1,,,0
